Finca,Dias,T,Puntaje,pH,Brix,AcidezT,cafeina,ACQA,CCQA,BCQA,Polifenoles,DPPH,ABTS,Altitud
Corpachi,3,20.6,86.63,5.0133,1.2,0.0155,676.8915,412.7191,692.0006,397.6602,2605.2017,9.5583,9.272,1375
Corpachi,4,20.6,86.06,5.0067,1.2,0.0145,601.6501,397.864,723.0282,403.9435,2448.6133,8.2083,8.0518,1375
Corpachi,5,20.6,86.88,5.0233,1.27,0.0152,639.2415,432.7061,751.4449,431.4551,2655.1283,8.1167,8.9226,1375
Corpachi,7,20.6,87.19,4.9533,1.07,0.0152,613.4221,395.689,714.3046,401.56,2419.11,8.3417,9.4289,1375
Corpachi,9,20.6,87.34,4.98,1.2,0.0135,606.1519,382.7435,682.5141,390.1592,2371.455,7.9583,10.4628,1375
Corpachi,3,24,86.28,5.0767,1.2,0.0132,705.0421,426.3423,796.3562,452.5129,2523.5017,7.9167,9.8509,1375
Corpachi,4,24,87.13,4.9933,1.67,0.0122,534.7146,818.2385,1184.3385,713.1105,2285.2183,7.1083,8.9734,1375
Corpachi,5,24,87.09,5.0267,2,0.0125,665.7463,347.7119,530.6221,316.1868,2512.155,8.1917,9.6826,1375
Corpachi,6,24,85.94,5.01,1.93,0.0122,642.9176,426.7213,714.2715,416.5715,2310.1817,7.15,8.8065,1375
Corpachi,7,24,85.79,4.9767,1.93,0.0125,684.482,432.7155,867.3671,471.41,2646.05,8.4083,9.3697,1375
Corpachi,3,30,86.32,5.0133,2,0.0139,737.6643,490.8567,982.9008,544.0083,2861.3548,8.2583,8.8483,1375
Corpachi,4,30,84.93,5.0067,1.7333,0.0149,523.2204,821.0147,1216.0057,767.4023,2339.6833,7.7667,9.188,1375
Corpachi,5,30,86.21,4.9008,1.9333,0.0138,644.5686,444.3011,887.8658,493.3681,2514.4267,7.45,9.074,1375
Corpachi,5.5,30,88.49,4.9008,1.6,0.0146,623.8992,358.3403,830.7955,409.2411,2310.18,7.1,8.8964,1375
Corpachi,6,30,86.39,4.9133,1.8667,0.0132,611.9511,810.856,1216.0057,767.4023,2183.095,8.7583,9.6824,1375
Corpachi,6.5,30,86.61,4.9733,2,0.0149,665.9543,794.6219,613.9056,563.8531,2394.15,6.9417,9.5985,1375
Lamastus,3,24,88.56,5.1267,1.6667,0.0149,642.1583,358.4777,791.6082,400.7497,2398.6883,6.5333,11.4856,1725
Lamastus,4,24,88.53,5.1167,1.8,0.0165,688.223,381.376,857.4599,439.3556,2559.8133,8.9167,8.7058,1725
Lamastus,5,24,89.22,5.12,1.7333,0.0149,687.763,387.1427,839.1843,435.6342,2600.6633,8.95,10.4246,1725
Lamastus,6,24,89,5.1533,1.8,0.0169,718.3779,285.2086,667.2794,357.2249,2630.165,8.2667,9.8971,1725
Lamastus,7,24,88.92,5.1333,1.7333,0.0176,754.7001,455.3662,1011.9601,515.0036,2859.3717,9.0917,12.1595,1725
Lamastus,8,24,88.69,5.1233,1.7333,0.0149,617.5544,394.7506,905.4354,456.655,2600.6617,7.7167,11.7196,1725
Lamastus,3,17.4,88.67,5.1567,1.5333,0.0139,593.4005,337.9377,818.804,388.6442,2162.6717,7.875,10.4418,1725
Lamastus,4,17.4,89.31,5.12,1.7333,0.0125,658.1517,401.157,885.3567,453.425,2162.67,8.2167,10.0019,1725
Lamastus,5,17.4,89.06,5.1167,1.6,0.0128,666.6153,365.9894,814.6953,422.3483,2385.0717,8.9667,10.5256,1725
Lamastus,7,17.4,88.78,5.14,1.8667,0.0152,698.9411,424.4354,934.7048,469.6386,2564.3517,8.4833,10.658,1725
Lamastus,9,17.4,89.11,5.1133,1.6667,0.0156,621.2578,406.4584,917.2722,462.9278,2348.76,8.7083,11.2378,1725
Lamastus,11,17.4,89.39,5.0825,1.9333,0.0135,720.2704,401.3835,933.0237,461.8227,2582.5067,7.3833,9.5121,1725
Lamastus,4,30,89.17,5.1367,1.6667,0.0135,707.1914,395.0926,861.2222,445.8483,2416.8433,7.225,10.2875,1725
Lamastus,5,30,89.06,5.1267,1.8,0.0179,728.4771,445.4386,1021.1566,483.3067,2301.1033,8.4417,11.0283,1725
