Variedad,Proceso,Estado ,AcGalico,AcCafeico
Geisha,Proceso,Tostado,0.027073315,0.187186243
Geisha,Proceso,Tostado,0.026957296,0.188603517
Geisha,Proceso,Tostado,0.026421958,0.183890217
Geisha,Proceso,Tostado,0.023403187,0.176604168
Geisha,Proceso,Tostado,0.0230087,0.174112663
Geisha,Proceso,Tostado,0.023198901,0.16961146
Geisha,Proceso,Tostado,0.022055416,0.20334373
Geisha,Proceso,Tostado,0.026068068,0.203296618
Geisha,Proceso,Tostado,0.02587746,0.203458737
Geisha,Proceso,Tostado,0.025061038,0.154086813
Geisha,Proceso,Tostado,0.025864234,0.155866105
Geisha,Proceso,Tostado,0.025604484,0.154634979
Geisha,Proceso,Tostado,0.028734557,0.174473171
Geisha,Proceso,Tostado,0.02932705,0.173293194
Geisha,Proceso,Tostado,0.028673068,0.171214813
Geisha,Proceso,Tostado,0.026654926,0.149858266
Geisha,Proceso,Tostado,0.026316621,0.150623509
Geisha,Proceso,Tostado,0.026750807,0.152136137
Geisha,Proceso,Tostado,0.026465126,0.181200392
Geisha,Proceso,Tostado,0.027359648,0.183226689
Geisha,Proceso,Tostado,0.027294247,0.181551063
Geisha,Proceso,Tostado,0.025752861,0.184385714
Geisha,Proceso,Tostado,0.025691472,0.186903274
Geisha,Proceso,Tostado,0.025821008,0.183363378
Geisha,Proceso,Tostado,0.025269277,0.152454485
Geisha,Proceso,Tostado,0.025115938,0.152072603
Geisha,Proceso,Tostado,0.025055876,0.150217843
Geisha,Proceso,Tostado,0.023976908,0.186487933
Geisha,Proceso,Tostado,0.024574021,0.191539393
Geisha,Proceso,Tostado,0.024448412,0.188742028
Geisha,Proceso,Tostado,0.02657527,0.137946072
Geisha,Proceso,Tostado,0.027038763,0.136939944
Geisha,Proceso,Tostado,0.026302244,0.136152079
Geisha,Proceso,Tostado,0.024604314,0.167729996
Geisha,Proceso,Tostado,0.024682953,0.175426768
Geisha,Proceso,Tostado,0.024422137,0.170394907
Geisha,Lavado,Tostado,0.027065114,0.225925905
Geisha,Lavado,Tostado,0.027232535,0.223361336
Geisha,Lavado,Tostado,0.02636985,0.224163451
Geisha,Lavado,Tostado,0.029910291,0.214942249
Geisha,Lavado,Tostado,0.029387393,0.215795195
Geisha,Lavado,Tostado,0.029756079,0.215119317
Geisha,Lavado,Tostado,0.027948461,0.208698615
Geisha,Lavado,Tostado,0.028003695,0.21057772
Geisha,Lavado,Tostado,0.027871498,0.208610492
Geisha,Lavado,Tostado,0.029556684,0.196712397
Geisha,Lavado,Tostado,0.028289953,0.194504058
Geisha,Lavado,Tostado,0.028442615,0.193391676
Geisha,Lavado,Tostado,0.02578166,0.173763712
Geisha,Lavado,Tostado,0.025934819,0.176029605
Geisha,Lavado,Tostado,0.025934819,0.174549245
Geisha,Lavado,Tostado,0.026928597,0.203287207
Geisha,Lavado,Tostado,0.026768687,0.20443706
Geisha,Lavado,Tostado,0.027122328,0.204999564
Geisha,Lavado,Tostado,0.05098366,0.180406038
Geisha,Lavado,Tostado,0.050698863,0.17966613
Geisha,Lavado,Tostado,0.051044548,0.178138585
Geisha,Lavado,Tostado,0.027753487,0.208903179
Geisha,Lavado,Tostado,0.027654289,0.210147336
Geisha,Lavado,Tostado,0.027764553,0.209736012
Geisha,Lavado,Tostado,0.052192638,0.506100133
Geisha,Lavado,Tostado,0.051664455,0.519925343
Geisha,Lavado,Tostado,0.05263894,0.5241409
Geisha,Lavado,Tostado,0.055113291,0.210055328
Geisha,Lavado,Tostado,0.054298734,0.202680346
Geisha,Lavado,Tostado,0.054535847,0.207559534
Geisha,Lavado,Tostado,0.05051303,0.212059552
Geisha,Lavado,Tostado,0.049277814,0.210076196
Geisha,Lavado,Tostado,0.051364474,0.219562714
Geisha,Lavado,Tostado,0.024883471,0.151518386
Geisha,Lavado,Tostado,0.024697396,0.151951156
Geisha,Lavado,Tostado,0.024423057,0.15284213
Tradicional,Lavado,Tostado,0.028011573,0.196210777
Tradicional,Lavado,Tostado,0.028778557,0.196412913
Tradicional,Lavado,Tostado,0.028266421,0.196522841
Tradicional,Lavado,Tostado,0.03120195,0.237469356
Tradicional,Lavado,Tostado,0.030499811,0.241930539
Tradicional,Lavado,Tostado,0.030366624,0.24063088
Tradicional,Lavado,Tostado,0.027467436,0.255453338
Tradicional,Lavado,Tostado,0.027499502,0.257697736
Tradicional,Lavado,Tostado,0.026694437,0.259714761
Tradicional,Lavado,Tostado,0.027327633,0.244141185
Tradicional,Lavado,Tostado,0.02722984,0.241808585
Tradicional,Lavado,Tostado,0.027867316,0.243364284
Tradicional,Lavado,Tostado,0.02723329,0.239407354
Tradicional,Lavado,Tostado,0.027082592,0.242919385
Tradicional,Lavado,Tostado,0.026559982,0.242223734
Tradicional,Lavado,Tostado,0.027005423,0.185580451
Tradicional,Lavado,Tostado,0.027371241,0.186673816
Tradicional,Lavado,Tostado,0.027021496,0.19001032
Tradicional,Lavado,Tostado,0.022904686,0.202073842
Tradicional,Lavado,Tostado,0.02338428,0.203603501
Tradicional,Lavado,Tostado,0.02251371,0.205880687
Tradicional,Lavado,Tostado,0.026779446,0.242779329
Tradicional,Lavado,Tostado,0.026490736,0.244173888
Tradicional,Lavado,Tostado,0.026585383,0.246261237
Tradicional,Lavado,Tostado,0.02327229,0.183823216
Tradicional,Lavado,Tostado,0.023781013,0.185284089
Tradicional,Lavado,Tostado,0.023992239,0.182391518
Tradicional,Lavado,Tostado,0.023752411,0.179383376
Tradicional,Lavado,Tostado,0.024026732,0.182182421
Tradicional,Lavado,Tostado,0.025086007,0.18105487
Tradicional,Lavado,Tostado,0.027368903,0.167095188
Tradicional,Lavado,Tostado,0.027315048,0.163079369
Tradicional,Lavado,Tostado,0.026577243,0.165622985
Tradicional,Lavado,Tostado,0.034261251,0.200568421
Tradicional,Lavado,Tostado,0.035841327,0.200219918
Tradicional,Lavado,Tostado,0.035800006,0.202153942
Geisha,Lavado,Verde,0.009974284,0.013136745
Geisha,Lavado,Verde,0.009974284,0.013136745
Geisha,Lavado,Verde,0.009974284,0.013136745
Geisha,Lavado,Verde,0.030166073,0.145406354
